(0, 0)
(0, 1)
(1, 0)
(2, 0)
(1, 1)
(3, 0)
(2, 1)
(0, 2)
(2, 2)
(1, 2)
(3, 1)
(0, 3)
(0, 4)
(3, 2)
(2, 3)
(4, 2)
(1, 3)
(3, 3)
(1, 4)
(3, 4)
(0, 5)
(3, 5)
(5, 2)
(4, 4)
(4, 3)
(5, 3)
(5, 1)
(3, 6)
(4, 5)
(2, 6)
(1, 5)
(3, 7)
(2, 7)
(5, 0)
(6, 2)
(5, 5)
(3, 8)
(1, 7)
(6, 1)
(5, 4)
(4, 6)
(2, 8)
(7, 1)
(0, 7)
(5, 6)
(1, 8)
(5, 7)
(4, 7)
(2, 9)
(6, 0)
(7, 2)
(3, 9)
(0, 8)
(4, 8)
(6, 4)
(1, 9)
(8, 1)
(1, 10)
(7, 0)
(2, 10)
(5, 8)
(7, 4)
(2, 11)
(6, 7)
(9, 1)
(6, 8)
(7, 3)
(6, 6)
(3, 11)
(8, 2)
(3, 10)
(9, 2)
(8, 0)
(0, 9)
(2, 12)
(4, 9)
(0, 10)
(8, 4)
(1, 11)
(3, 12)
(4, 10)
(5, 9)
(7, 7)
(7, 8)
(6, 9)
(1, 12)
(8, 8)
(4, 11)
(6, 10)
(8, 9)
(8, 3)
(2, 13)
(8, 5)
(9, 0)
(9, 8)
(5, 11)
(7, 9)
(0, 12)
(5, 10)
(0, 11)
(4, 12)
(9, 7)
(1, 13)
(6, 11)
(8, 6)
(8, 7)
(0, 13)
(9, 9)
(8, 10)
(7, 10)
(2, 14)
(4, 13)
(5, 12)
(0, 14)
(3, 14)
(9, 10)
(8, 11)
(9, 6)
(1, 14)
(4, 14)
(2, 15)
(7, 11)
(2, 16)
