(0, 0)
(0, 1)
(1, 0)
(2, 0)
(1, 1)
(2, 1)
(0, 2)
(2, 2)
(3, 0)
(1, 2)
(0, 3)
(3, 1)
(0, 4)
(2, 3)
(3, 2)
(1, 3)
(3, 3)
(1, 4)
(3, 3)
(4, 2)
(3, 4)
(0, 5)
(3, 5)
(3, 6)
(4, 4)
(2, 6)
(3, 7)
(2, 7)
(4, 5)
(4, 3)
(4, 3)
(1, 5)
(3, 8)
(5, 2)
(5, 3)
(5, 3)
(1, 7)
(2, 8)
(5, 1)
(5, 5)
(2, 9)
(1, 8)
(0, 7)
(4, 6)
(3, 9)
(5, 4)
(4, 7)
(5, 6)
(6, 2)
(1, 9)
(5, 7)
(5, 7)
(1, 10)
(5, 0)
(1, 9)
(0, 8)
(4, 8)
(0, 8)
(2, 10)
(2, 11)
(6, 1)
(2, 12)
(3, 11)
(3, 10)
(5, 8)
(7, 1)
(1, 11)
(3, 12)
(3, 12)
(6, 4)
(2, 13)
(0, 9)
(0, 9)
(1, 12)
(7, 2)
(4, 9)
(6, 7)
(6, 8)
(0, 10)
(6, 0)
(4, 10)
(6, 6)
(4, 11)
(7, 4)
(5, 9)
(1, 13)
(1, 13)
(6, 9)
(8, 1)
(2, 14)
(0, 12)
(7, 3)
(6, 10)
(7, 0)
(0, 13)
(4, 12)
(7, 8)
(0, 11)
(5, 11)
(0, 13)
(7, 7)
(8, 2)
(3, 14)
(4, 13)
(5, 10)
(8, 8)
(8, 9)
(2, 15)
(6, 11)
(0, 14)
(8, 4)
(9, 1)
(2, 16)
