S, 1.5162721, 0.5571633, X, 0.20211422, 1.304639, 0.12990302, 0.1506462, 0.270592, 0.7639265
0.6407478, 0.3799691, 0.33608708, 0.54690087, 0.5950765, 1.2612422, 0.8836782, 0.4345618, 1.5815384, 1.195834
0.85617286, 1.1893747, 1.6668352, X, 1.9722396, 0.6594861, 1.0479962, 1.5911084, X, 1.125297
1.4390626, 0.30849612, X, 0.14534198, 1.1062227, 0.2521101, 1.8441882, 0.23974477, G, 0.77217776
1.0945582, 1.3132827, 1.4636877, 0.4874599, 0.62856215, 1.6501452, 1.3530135, X, 1.7235823, 0.6607699
1.2107563, 0.10789402, 1.8805007, 0.9152535, 1.6282285, X, 1.5085275, 0.9081031, 1.853193, 1.6649687
0.19456224, 0.5865977, 0.2688789, 1.0529261, 0.12158982, 1.8385006, 1.3201581, 0.21695898, X, 0.13204971
1.1193249, 1.9077691, X, 1.5689701, 1.2471135, 0.49809185, 0.7707911, 0.51268226, X, 1.328426
1.7616267, 1.2246459, 0.5611449, 0.37672618, 1.0902549, 1.1784414, 0.67930585, 1.180698, 0.38853654, 0.88335747
1.7544806, 0.8502417, 1.0978823, 1.2746636, 1.6979175, 1.8364866, 0.41679245, 0.23844056, 1.844925, 1.197155
